"arc_length","function_2403 (imaginary part)_Magnitude","function_2403 (real part)_Magnitude","function_2535 (imaginary part)_Magnitude","function_2535 (real part)_Magnitude"
0,nan,nan,nan,nan
0.0169707,nan,nan,nan,nan
0.0339414,nan,nan,nan,nan
0.0509114,nan,nan,nan,nan
0.0678821,nan,nan,nan,nan
0.0848527,nan,nan,nan,nan
0.101823,nan,nan,nan,nan
0.118794,nan,nan,nan,nan
0.135765,nan,nan,nan,nan
0.152735,nan,nan,nan,nan
0.169705,nan,nan,nan,nan
0.186676,nan,nan,nan,nan
0.203647,nan,nan,nan,nan
0.220618,nan,nan,nan,nan
0.237588,nan,nan,nan,nan
0.254558,nan,nan,nan,nan
0.271529,nan,nan,nan,nan
0.2885,nan,nan,nan,nan
0.30547,nan,nan,nan,nan
0.322441,nan,nan,nan,nan
0.339411,nan,nan,nan,nan
0.356382,nan,nan,nan,nan
0.373352,nan,nan,nan,nan
0.390323,nan,nan,nan,nan
0.407294,nan,nan,nan,nan
0.424264,nan,nan,nan,nan
0.441234,nan,nan,nan,nan
0.458205,nan,nan,nan,nan
0.475176,nan,nan,nan,nan
0.492146,nan,nan,nan,nan
0.509117,nan,nan,nan,nan
0.526088,nan,nan,nan,nan
0.543058,nan,nan,nan,nan
0.560028,nan,nan,nan,nan
0.576999,nan,nan,nan,nan
0.59397,nan,nan,nan,nan
0.61094,nan,nan,nan,nan
0.62791,nan,nan,nan,nan
0.644881,nan,nan,nan,nan
0.661852,nan,nan,nan,nan
0.678823,nan,nan,nan,nan
0.695793,nan,nan,nan,nan
0.712764,nan,nan,nan,nan
0.729734,nan,nan,nan,nan
0.746705,nan,nan,nan,nan
0.763675,nan,nan,nan,nan
0.780646,nan,nan,nan,nan
0.797617,nan,nan,nan,nan
0.814587,nan,nan,nan,nan
0.831557,nan,nan,nan,nan
0.848528,nan,nan,nan,nan
0.865499,nan,nan,nan,nan
0.882469,nan,nan,nan,nan
0.89944,nan,nan,nan,nan
0.91641,nan,nan,nan,nan
0.933381,nan,nan,nan,nan
0.950351,nan,nan,nan,nan
0.967322,nan,nan,nan,nan
0.984293,nan,nan,nan,nan
1.00126,nan,nan,nan,nan
1.01823,nan,nan,nan,nan
1.0352,nan,nan,nan,nan
1.05217,nan,nan,nan,nan
1.06915,nan,nan,nan,nan
1.08612,nan,nan,nan,nan
1.10309,nan,nan,nan,nan
1.12006,nan,nan,nan,nan
1.13703,nan,nan,nan,nan
1.154,nan,nan,nan,nan
1.17097,nan,nan,nan,nan
1.18794,nan,nan,nan,nan
1.20491,nan,nan,nan,nan
1.22188,nan,nan,nan,nan
1.23885,nan,nan,nan,nan
1.25582,nan,nan,nan,nan
1.27279,nan,nan,nan,nan
1.28976,nan,nan,nan,nan
1.30673,nan,nan,nan,nan
1.3237,nan,nan,nan,nan
1.34067,nan,nan,nan,nan
1.35765,nan,nan,nan,nan
1.37462,nan,nan,nan,nan
1.39159,nan,nan,nan,nan
1.40856,nan,nan,nan,nan
1.42553,nan,nan,nan,nan
1.4425,nan,nan,nan,nan
1.45947,nan,nan,nan,nan
1.47644,nan,nan,nan,nan
1.49341,nan,nan,nan,nan
1.51038,nan,nan,nan,nan
1.52735,nan,nan,nan,nan
1.54432,nan,nan,nan,nan
1.56129,nan,nan,nan,nan
1.57826,nan,nan,nan,nan
1.59523,nan,nan,nan,nan
1.6122,nan,nan,nan,nan
1.62917,nan,nan,nan,nan
1.64614,nan,nan,nan,nan
1.66312,nan,nan,nan,nan
1.68009,nan,nan,nan,nan
1.69706,nan,nan,nan,nan
1.71403,nan,nan,nan,nan
1.731,nan,nan,nan,nan
1.74797,nan,nan,nan,nan
1.76494,nan,nan,nan,nan
1.78191,nan,nan,nan,nan
1.79888,nan,nan,nan,nan
1.81585,nan,nan,nan,nan
1.83282,nan,nan,nan,nan
1.84979,nan,nan,nan,nan
1.86676,nan,nan,nan,nan
1.88373,nan,nan,nan,nan
1.9007,nan,nan,nan,nan
1.91767,nan,nan,nan,nan
1.93464,nan,nan,nan,nan
1.95161,nan,nan,nan,nan
1.96859,nan,nan,nan,nan
1.98556,nan,nan,nan,nan
2.00253,nan,nan,nan,nan
2.0195,nan,nan,nan,nan
2.03647,nan,nan,nan,nan
2.05344,nan,nan,nan,nan
