Number of elements in cell,E_field_norm,FF norm,rel E norm,rel FF norm
1,3.608889853829455,2.2897587343719583,0.34027436433193936,0.5377640334331237
2,5.510755572147125,2.6992477767927965,0.5132104305103348,0.6562138915667889
3,4.09383382664001,2.8197432577462123,0.3854115056269492,0.7280869295638829
4,2.6798091462619893,1.2006100368282173,0.2528818228714634,0.21771907502094237
5,2.0379595724563293,0.9059313767646489,0.1921275174571619,0.15554716254143003
6,1.487395124418117,0.7259751025283279,0.14018144727498516,0.1234946693362656
7,1.2344647439786622,0.6173055695708729,0.11632098740240743,0.1055566455939514
8,1.0455835800889535,0.5336607746541809,0.09851456406940709,0.09198082977924803
9,0.9347011583342488,0.47420288738324046,0.08806282195961321,0.08224462739047161
10,0.8462786492544261,0.4286278719129703,0.07972839465952294,0.0747450575369429
11,0.782545483224956,0.39064765581662714,0.07372455854853338,0.06838299669211167
12,0.7378476773413001,0.3654973493344135,0.06951333158867312,0.06418782287112268
13,0.698523238959009,0.3405615319045176,0.06580722007139048,0.05994098372154029
14,0.6805265424106228,0.3301602345354381,0.06411099507680072,0.058220059257879056
15,0.6538367962944965,0.31237890820957737,0.06159581757881116,0.055157893106327176
